Topic,Technical Term,Meaning,Use Case,Further Reading and Interrelationships,Source
Boolean Satisfiability (SAT),SAT Solver,"An automated tool used to solve the Boolean satisfiability problem, determining if there exists an assignment of variables that makes a Boolean formula true.",Used in formal verification and equivalence checking to preserve functional behavior during digital circuit transformations.,"Used in conjunction with Binary Decision Diagrams (BDDs) and automated theorem provers; related to SWORD, a module-based SAT solver.",1
Boolean Satisfiability (SAT),Conflict-Driven Clause Learning (CDCL),The dominant paradigm in modern SAT solving that applies conflict information to prune the search space by learning new clauses from conflicts encountered during the search.,"Used as the core framework for state-of-the-art solvers to solve industrial-scale problems in hardware design, automated planning, software analysis, and cryptography.","Evolved from the DPLL framework; linked to techniques like two-watched literals, dynamic restart policies, and clause deletion heuristics.",2-4
Boolean Satisfiability (SAT),DPLL Algorithm,"A complete decision procedure for Conjunctive Normal Form (CNF) SAT that builds up a partial satisfying assignment through unit clause propagation, pure literal elimination, and backtracking search.",Used in award-winning SAT solvers such as Chaff and MiniSAT to determine if mathematical or logical propositions are valid.,"Introduced by Davis, Putnam, Logemann, and Loveland (1960/1962); combined with the Simplex method in the DPLL(T) unified theorem prover.",5
Boolean Satisfiability (SAT),SAT engines,Computation engines used for precise and scalable seed generation in hardware fuzzing by solving Boolean satisfiability problems.,Integrated into TargetFuzz to enhance target state coverage and handle complex design specifications in IC design verification.,Used in directed Graybox Fuzzing (DGF) to overcome limitations of Coverage-Guided Fuzzing (CGF).,6
Boolean Satisfiability (SAT),MaxSAT,An optimization version of the Boolean satisfiability problem aimed at finding an assignment that satisfies the maximum number of clauses.,Used for decoding quantum color codes.,Interrelates with quantum error correction and the Munich Quantum Toolkit (MQT).,1
Boolean Satisfiability (SAT),SATLUTION,An autonomous AI agent framework designed to evolve SAT solver repositories at scale using Large Language Models (LLMs) and iterative feedback loops.,Automatically generating and improving C/C++ SAT solver codebases to outperform human-designed winners in competitions.,Extends the single-kernel evolution concept of AlphaEvolve to full repository-scale engineering; utilizes Claude models for planning and coding stages.,2
Boolean Satisfiability (SAT),Virtual Best Solver (VBS),A theoretical oracle that represents the best result achieved by any baseline solver for each specific instance in a benchmark set.,Used as a ground-truth performance baseline to flag misclassifications or identify uniquely solved instances during the evaluation of evolved solvers.,Serves as a key metric alongside PAR-2 scores in competition-standard benchmarking.,2
Boolean Satisfiability (SAT),Boolean Satisfiability (SAT),The problem of determining if there exists an interpretation that satisfies a given Boolean formula.,Identifying 'backbones' (literals that are true in every model) to explain the quality of a solution in optimization problems.,Interrelates with landscape analysis and backbone discovery in combinatorial optimization.,7
Boolean Satisfiability (SAT),Neuro-symbolic hybrid,A system where a Large Language Model performs semantic parsing while an external interpreter handles syntactic execution or calculation.,Program-of-Thoughts (PoT) and Chain-of-Code (CoC) to eliminate probabilistic calculation errors.,Allows models to bypass the 'Projection Tax' by drafting in high-entropy space before clamping to zero-entropy schemas.,8
Evolutionary Algorithms (EA),Evolutionary Algorithms (EA),"Stochastic search and learning methods inspired by biological evolution, utilizing populations of solutions and operators like variation and diversity to explore search spaces.","Optimizing complex, high-dimensional, and non-convex loss functions in machine learning models where gradients may be noisy or deceptive.","Includes Genetic Algorithms (GA), Genetic Programming (GP), and Evolution Strategies (ES). Related to metaheuristics and derivative-free optimization.","7, 9"
