node_a,node_b,interaction_type,mechanistic_hypothesis,expected_gain,null_baseline,confidence,evidence_source
+++DCCDSchemaGuard,+++SilentReasoning,Likely synergistic,"Draft-conditioned schema finalization benefits from isolated pre-final reasoning, but requirement is not universal",Higher schema adherence with less reasoning collapse,Direct strict schema forcing without isolated draft reasoning,INFERRED,file:8
+++PhronesisGuard,+++EpistemicEscrow,Likely synergistic,"Consistency scoring can gate when escrow should halt, reducing premature circuit breaks",Fewer false halts and better contradiction-triggered safety,Escrow fires on raw divergence without prior consistency estimate,INFERRED,file:5;file:6
+++EntropyAnchor,+++AdjectivalBound,Tension pair,Exploration pressure can conflict with aggressive prose suppression in dense outputs,Better balance between novelty and signal density when tuned carefully,High entropy exploration with no verbosity constraint; or verbosity constraint with no exploration pressure,INFERRED,file:8
+++SpatialBind,+++MereologyRoute,Likely synergistic,Spatial grounding is safer when nested inside explicit part-whole logic,Lower risk of spatial constraints leaking into wrong ontological relations,Spatial grounding without hierarchy routing,INFERRED,file:8
+++ConstitutionalTwin,+++MereologyRoute,Weak synergy,Narrative wrapping is less likely to distort payload structure if ontological relationships are fixed first,Better alignment compliance with less structural deformation,Narrative shell over unconstrained payload,INFERRED,file:5;file:8
+++DebridementProtocol,+++EpistemicEscrow,Hazard pair,Pruning scar archives during active safety gating can remove anchors needed for halt decisions,Lower blind-spot risk if separated in time,Simultaneous archive pruning and divergence halting,INFERRED,file:5
+++IncoherentDictionary,+++DictionaryAnchor,Potential conflict,Decorrelation and max-margin anchoring can pull dictionary control in different geometric directions,Possible complementary control if staged; risk of unstable objectives if co-active,Co-activation without staged ablation,INFERRED,file:8
+++ContextLock,+++TemporalAnchor,Likely synergistic,Persistent provenance or temporal metadata is more stable if anchor reinjection survives refresh cycles,Better long-horizon provenance persistence,Temporal metadata without reinjected anchors,SPECULATIVE,file:5;file:8
+++MycelialRoute,+++DCCDSchemaGuard,Pipeline sequence,Retrieval graph pruning should settle before schema-locked finalization,Cleaner upstream evidence routing before structured output lock-in,Schema finalization before retrieval settlement,SPECULATIVE,file:6;file:8
+++CognitiveFilter,+++PhronesisGuard,Calibration pair,Paraconsistent contradiction routing changes how consistency metrics should be interpreted,More accurate inconsistency scoring under non-classical logic,Classical scoring over paraconsistent state space,INFERRED,file:5;file:6
+++PetzoldSequence,+++SilentReasoning,Likely synergistic,Phase-separated state transitions pair well with hidden draft computation,Cleaner separation of think/implement/review with less premature token commitment,Mixed-phase reasoning with public intermediate noise,INFERRED,file:8
+++DriftCheck,+++ContextLock,Likely synergistic,Drift detection is more actionable when stable anchors exist to compare against,Earlier recovery from context rot and boundary washout,Drift detection without anchor reinjection,INFERRED,file:8
